Building,Construction Date
Student Health & Wellness Center,2010-03-19
Equestrian Center Caretaker Trailer,2010-07-01
Primate Virology & Immunology Laboratory,2010-09-01
"RMI Brewery, Winery, and Food Pilot Facility",2010-09-01
Segundo Services Center,2011-09-01
Student Community Center,2011-10-01
Primate Shop Facility,2012-07-27
Jackson Sustainable Winery,2013-09-30
FPS Trinchero Building,2015-05-01
Ann E. Pitzer Center,2016-04-15
International Center,2016-07-01
Shrem Museum of Art,2016-08-31
Vet Med Student Services and Administration Center,2017-01-31
California Hall,2018-03-14
Central Cage Wash Facility,2018-07-31
